pl_hostname,pl_letter,st_dist,st_glat,st_glon,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_rade
HAT-P-24,b,,11.653161,202.738016,0.046500,0.000600,-0.000600,217.70400,13.922
HAT-P-25,b,,-27.442491,159.314258,0.046600,0.000500,-0.000500,180.20200,13.339
HAT-P-26,b,,59.873133,346.513394,0.047900,0.000600,-0.000600,18.75120,6.333
HAT-P-27,b,,54.543954,1.683409,0.040300,0.000500,-0.000500,209.75900,11.635
HAT-P-28,b,,-28.143139,123.063604,0.043400,0.000700,-0.000700,198.95300,13.585
HAT-P-29,b,,-9.107909,135.470653,0.066700,0.000800,-0.000800,247.26100,12.408
HAT-P-2,b,135.32,45.232339,65.020956,0.068780,0.000680,-0.000680,2890.00000,12.970
HAT-P-30,b,,21.405463,217.412057,0.041900,0.000500,-0.000500,225.96800,15.020
HAT-P-31,b,,21.063456,52.720282,0.055000,0.015000,-0.015000,689.98000,11.994
HAT-P-31,c,,21.063456,52.720282,,,,1080.58000,
HAT-P-32,b,,-14.372978,135.698586,0.034400,0.000400,-0.000700,299.06500,22.833
HAT-P-33,b,,22.730100,185.307412,0.050300,0.001100,-0.001100,242.49400,20.479
HAT-P-34,b,,-8.758864,58.541037,0.067700,0.000800,-0.000800,1057.70000,13.417
HAT-P-35,b,,20.308229,218.073922,0.049800,0.000600,-0.000600,334.98000,14.930
HAT-P-36,b,,71.837171,133.413816,0.023800,0.000400,-0.000400,582.24000,14.168
HAT-P-37,b,,19.983617,81.208299,0.037900,0.000600,-0.000600,371.53000,13.204
HAT-P-3,b,,66.692503,100.166723,0.038940,0.000700,-0.000700,190.37200,9.976
HAT-P-4,b,,57.336273,58.479782,0.044380,0.000810,-0.001500,213.00000,14.280
HAT-P-5,b,,22.149225,63.936604,0.040710,0.000490,-0.000970,337.00000,14.060
HAT-P-6,b,,-18.435101,108.963542,0.052370,0.000850,-0.000900,336.60000,14.910
HAT-P-7,b,,13.975376,80.032910,0.032000,0.003300,-0.001300,570.00000,16.000
HAT-P-8,b,,-21.382393,97.144567,0.048700,0.002600,-0.002600,483.00000,16.800
HAT-P-9,b,,21.442699,181.086640,0.053000,0.002000,-0.002000,250.00000,15.700
HD 100655,b,140.85,71.319178,229.798958,0.760000,0.020000,-0.040000,540.00000,
HD 100777,b,52.80,53.257072,270.285305,1.030000,0.030000,-0.030000,368.66700,
HD 10180,c,39.39,-55.693915,292.805329,0.064100,0.001000,-0.001000,13.10000,
HD 10180,d,39.39,-55.693915,292.805329,0.128600,0.002000,-0.002000,11.75000,
HD 10180,e,39.39,-55.693915,292.805329,0.269900,0.004200,-0.004200,25.10000,
HD 10180,f,39.39,-55.693915,292.805329,0.492900,0.007800,-0.007800,23.90000,
HD 10180,g,39.39,-55.693915,292.805329,1.422000,0.026000,-0.026000,21.40000,
HD 10180,h,39.39,-55.693915,292.805329,3.400000,0.110000,-0.110000,64.40000,
HD 101930,b,30.50,3.683337,294.010351,0.302000,,,95.34498,
HD 102117,b,42.00,3.055400,294.360396,0.153200,0.008800,-0.008800,54.66400,
