pl_hostname,pl_letter,st_dist,st_disterr,st_glon,st_glat,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2
HD 34445,b,45.01,2.03,195.038274,-17.021819,2.070000,0.020000,-0.020000,250.00000,20.00000,-20.00000,,,,0.79000,0.07000,-0.07000,,,
HD 3651,b,11.11,0.09,119.172655,-41.533090,0.295000,0.003000,-0.003000,72.80000,2.50000,-2.50000,,,,0.22900,0.00800,-0.00800,,,
HD 37124,b,33.24,1.22,185.962494,-5.973532,0.530000,,,193.86800,0.00000,0.00000,,,,0.61000,,,,,
HD 37124,c,33.24,1.22,185.962494,-5.973532,3.190000,0.180000,-0.180000,217.06875,27.96786,-27.96786,,,,0.68300,0.08800,-0.08800,,,
HD 37124,d,33.24,1.22,185.962494,-5.973532,1.640000,0.100000,-0.100000,198.31757,20.02245,-20.02245,,,,0.62400,0.06300,-0.06300,,,
HD 37605,b,42.88,2.28,199.104470,-12.895244,0.250000,,,730.97821,0.00000,0.00000,,,,2.30000,,,,,
HIP 26380,b,37.78,0.78,284.821794,-31.153490,1.020000,0.070000,-0.070000,108.05800,6.35633,-6.35633,,,,0.34000,0.02000,-0.02000,,,
HD 38529,b,42.43,1.59,204.317354,-13.836886,0.129000,,,247.89696,0.00000,0.00000,,,,0.78000,,,,,
HD 38529,c,42.43,1.59,204.317354,-13.836886,3.680000,,,4036.27096,0.00000,0.00000,,,,12.70000,,,,,
HD 38801,b,99.40,14.66,213.267761,-17.863035,1.700000,0.037000,-0.037000,3400.64000,158.90800,-158.90800,,,,10.70000,0.50000,-0.50000,,,
HD 38858,b,15.56,0.28,209.378147,-15.841782,1.037600,,,30.54000,0.00000,0.00000,,,,0.09610,,,,,
HD 39091,b,18.21,0.15,292.513482,-29.776203,3.290000,,,3289.40192,0.00000,0.00000,,,,10.35000,,,,,
HD 39194,b,25.59,0.48,280.615564,-31.055885,0.051900,,,3.71800,0.00000,0.00000,,,,0.01170,,,,,
HD 39194,c,25.59,0.48,280.615564,-31.055885,0.095400,,,5.94300,0.00000,0.00000,,,,0.01870,,,,,
HD 39194,d,25.59,0.48,280.615564,-31.055885,0.172000,,,5.14900,0.00000,0.00000,,,,0.01620,,,,,
HD 40307,b,12.83,0.09,268.814307,-30.340297,0.047000,,,4.19518,0.00000,0.00000,,,,0.01320,,,,,
HD 40307,c,12.83,0.09,268.814307,-30.340297,0.081000,,,6.86484,0.00000,0.00000,,,,0.02160,,,,,
HD 40307,d,12.83,0.09,268.814307,-30.340297,0.134000,,,9.15300,0.00000,0.00000,,,,0.02880,,,,,
HD 40979,b,33.33,0.89,168.495027,10.871678,0.811000,,,1055.15115,0.00000,0.00000,,,,3.32000,,,,,
HD 41004 A,b,43.03,1.81,255.488574,-28.196110,1.640000,,,807.25419,235.18429,-235.18429,,,,2.54000,0.74000,-0.74000,,,
HD 41004 B,b,43.03,1.81,255.488742,-28.196126,0.017700,,,5838.29000,69.91970,-69.91970,,,,18.37000,0.22000,-0.22000,,,
HD 4113,b,44.05,1.84,311.465495,-79.008869,1.280000,,,495.79391,12.71266,-12.71266,,,,1.56000,0.04000,-0.04000,,,
HD 4203,b,77.82,7.00,120.790360,-42.394716,1.164000,0.067000,-0.067000,657.88038,57.20699,-57.20699,,,,2.07000,0.18000,-0.18000,,,
HD 4208,b,32.70,1.12,53.969069,-88.323786,1.700000,,,254.25329,0.00000,0.00000,,,,0.80000,,,,,
HD 4308,b,21.85,0.26,304.054088,-51.463851,0.118000,0.009000,-0.009000,12.87157,1.58908,-1.58908,,,,0.04050,0.00500,-0.00500,,,
HD 4313,b,131.41,14.45,120.442132,-54.998837,1.190000,0.030000,-0.030000,730.97800,63.56330,-63.56330,,,,2.30000,0.20000,-0.20000,,,
HD 43197,b,54.94,5.88,236.814792,-20.738599,,,,190.68997,0.00000,0.00000,,,,0.60000,,,,,
HD 43691,b,93.20,9.09,172.649463,11.932807,0.240000,,,791.36336,0.00000,0.00000,,,,2.49000,,,,,
HD 43848,b,37.05,1.11,247.919577,-23.514619,3.400000,,,7945.41528,0.00000,0.00000,,,,25.00000,,,,,
HD 44219,b,50.43,2.47,219.077954,-11.743341,,,,184.33363,0.00000,0.00000,,,,0.58000,,,,,
HD 45184,b,22.04,0.30,236.625464,-18.072800,0.063800,,,13.00000,0.00000,0.00000,,,,0.04000,,,,,
HD 45350,b,48.95,2.24,175.387961,12.613545,1.920000,0.067000,-0.067000,568.89173,44.49433,-44.49433,,,,1.79000,0.14000,-0.14000,,,
HD 45364,b,32.58,0.84,239.355049,-18.866953,0.681300,,,59.49527,0.00000,0.00000,,,,0.18720,,,,,
HD 45364,c,32.58,0.84,239.355049,-18.866953,0.897200,,,209.09155,0.00000,0.00000,,,,0.65790,,,,,
HD 45652,b,36.14,1.61,200.683896,0.109437,0.230000,,,149.37381,0.00000,0.00000,,,,0.47000,,,,,
HD 46375,b,33.41,1.15,205.991660,-1.545774,0.041000,,,79.13634,0.00000,0.00000,,,,0.24900,,,,,
HD 47186,b,37.84,1.21,236.502898,-15.306684,0.050000,,,22.77792,0.00000,0.00000,,,,0.07167,,,,,
HD 47186,c,37.84,1.21,236.502898,-15.306684,2.395000,,,111.42968,0.00000,0.00000,,,,0.35061,,,,,
HD 47536,b,121.36,7.72,241.181679,-16.777864,,,,1589.08306,0.00000,0.00000,,,,5.00000,,,,,
HD 47536,c,121.36,7.72,241.181679,-16.777864,,,,2224.71628,0.00000,0.00000,,,,7.00000,,,,,
HD 48265,b,87.41,5.18,257.527069,-21.780536,1.510000,,,368.66727,120.77031,-120.77031,,,,1.16000,0.38000,-0.38000,,,
HD 49674,b,40.73,1.81,175.338750,17.371504,0.058000,0.003300,-0.003300,36.54900,5.08500,-5.08500,,,,0.11500,0.01600,-0.01600,,,
HD 50499,b,47.26,1.47,243.878274,-14.625739,3.860000,0.060000,-0.060000,543.46640,6.35633,-6.35633,,,,1.71000,0.02000,-0.02000,,,
HD 50554,b,31.03,0.94,191.410151,11.469658,2.380000,,,1557.30139,0.00000,0.00000,,,,4.90000,,,,,
HD 51608,b,34.07,0.73,265.155834,-21.539054,0.105900,,,13.13000,0.00000,0.00000,,,,0.04130,,,,,
HD 51608,c,34.07,0.73,265.155834,-21.539054,0.379100,,,17.96000,0.00000,0.00000,,,,0.05650,,,,,
HD 52265,b,28.07,0.65,218.717350,-0.480917,0.490000,0.008000,-0.008000,359.13277,19.06900,-19.06900,,,,1.13000,0.06000,-0.06000,,,
HD 5319,b,100.00,9.17,124.845632,-62.068868,1.750000,,,616.56423,0.00000,0.00000,,,,1.94000,,,,,
HD 5388,b,53.28,2.59,301.097037,-69.708810,,,,622.92056,0.00000,0.00000,,,,1.96000,,,,,
HD 5608,b,58.17,2.68,124.542446,-28.899549,1.900000,,,444.94300,,,,,,1.40000,,,,,
HD 5891,b,150.60,23.21,125.832726,-42.527887,0.760000,,,2420.00000,0.00000,0.00000,,,,7.60000,,,,,
HD 59686,b,92.51,6.00,201.804004,16.441980,0.911000,,,1668.53721,0.00000,0.00000,,,,5.25000,,,,,
HD 60532,b,25.70,0.43,237.497979,-1.189628,0.770000,,,1002.65000,0.00000,0.00000,,,,3.15480,,,,,
HD 60532,c,25.70,0.43,237.497979,-1.189628,1.580000,,,2371.99000,0.00000,0.00000,,,,7.46340,,,,,
HD 62509,b,10.34,0.09,192.229328,23.406346,1.690000,0.030000,-0.030000,921.66817,31.78166,-31.78166,,,,2.90000,0.10000,-0.10000,,,
HD 63454,b,35.80,1.07,290.354290,-24.138304,0.036000,,,120.77000,0.00000,0.00000,,,,0.38000,,,,,
HD 63765,b,32.62,0.72,267.196696,-14.094317,0.940000,0.016000,-0.016000,203.40300,15.89080,-15.89080,,,,0.64000,0.05000,-0.05000,,,
HD 6434,b,40.32,1.40,291.211336,-77.337312,0.150000,,,152.55197,0.00000,0.00000,,,,0.48000,,,,,
HD 65216,b,35.59,0.85,276.274504,-17.614028,1.370000,,,384.55810,0.00000,0.00000,,,,1.21000,,,,,
HD 65216,c,35.59,0.85,276.274504,-17.614028,,,,712.00000,,,,,,2.24029,,,,,
HD 66428,b,55.04,3.52,222.426215,15.418081,3.180000,0.190000,-0.190000,896.24300,85.81050,-85.81050,,,,2.82000,0.27000,-0.27000,,,
HD 6718,b,55.01,2.76,135.281047,-70.711886,,,,524.39741,0.00000,0.00000,,,,1.65000,,,,,
HD 68988,b,58.82,3.14,155.263155,33.919123,0.071000,,,603.85156,0.00000,0.00000,,,,1.90000,,,,,
HD 69830,b,12.58,0.12,234.563448,12.823793,0.078500,,,10.48800,0.00000,0.00000,,,,0.03300,,,,,
HD 69830,c,12.58,0.12,234.563448,12.823793,0.186000,,,12.07703,0.00000,0.00000,,,,0.03800,,,,,
HD 69830,d,12.58,0.12,234.563448,12.823793,0.630000,,,18.43336,0.00000,0.00000,,,,0.05800,,,,,
HD 70573,b,,,222.065941,21.112152,1.760000,0.050000,-0.050000,1938.68133,127.12664,-127.12664,,,,6.10000,0.40000,-0.40000,,,
HD 70642,b,28.76,0.49,257.612364,-1.672688,3.300000,,,635.63322,0.00000,0.00000,,,,2.00000,,,,,
HD 7199,b,35.88,0.87,299.842421,-50.823757,1.360000,0.020000,-0.020000,92.16680,7.30978,-7.30978,,,,0.29000,0.02300,-0.02300,,,
HD 72659,b,51.36,2.58,226.753797,21.881152,4.160000,,,940.73717,0.00000,0.00000,,,,2.96000,,,,,
HD 73256,b,36.52,1.00,251.537675,6.450922,0.037000,,,594.31706,0.00000,0.00000,,,,1.87000,,,,,
HD 73267,b,53.05,2.70,255.086315,3.792466,2.198000,0.025000,-0.025000,972.51883,22.24716,-22.24716,,,,3.06000,0.07000,-0.07000,,,
HD 73526,b,94.61,8.25,260.681157,-0.185726,0.660000,0.050000,-0.050000,921.66817,63.56332,-63.56332,,,,2.90000,0.20000,-0.20000,,,
HD 73526,c,94.61,8.25,260.681157,-0.185726,1.050000,0.080000,-0.080000,794.54153,95.34498,-95.34498,,,,2.50000,0.30000,-0.30000,,,
HD 73534,b,96.99,9.43,213.052894,29.698263,3.150000,,,365.48910,0.00000,0.00000,,,,1.15000,,,,,
HD 74156,b,64.56,4.28,221.985014,26.705201,0.294000,,,597.49500,9.53400,-9.53400,,,,1.88000,0.03000,-0.03000,,,
HD 74156,c,64.56,4.28,221.985014,26.705201,3.850000,,,2552.06739,38.13799,-38.13799,,,,8.03000,0.12000,-0.12000,,,
HD 74156,d,64.56,4.28,221.985014,26.705201,1.010000,,,125.85500,6.35600,-6.35600,,,,0.39600,0.02000,-0.02000,,,
HD 7449,b,38.52,1.11,137.918787,-67.246005,2.300000,0.040000,-0.040000,352.77600,85.81050,-117.59200,,,,1.11000,0.27000,-0.37000,,,
HD 7449,c,38.52,1.11,137.918787,-67.246005,4.960000,0.200000,-0.300000,635.63300,114.41400,-171.62100,,,,2.00000,0.36000,-0.54000,,,
